OBJECTID,DAQ_ID,COMPANY,ADDRESS1,ADDRESS2,ADDRESS3,CITY,COUNTY,EASTING,NORTHING,YEAR,CARBON_MONOXIDE,OXIDES_NITROGEN,AMMONIA,PARTICULATE_MATTER_PM10,OXIDES_SULFUR,PM25,VOLATILE_ORGANIC_COMPOUNDS,x,y
479,11674,Skywest Airlines- Aircraft Repair and Maintenance Operations Facility,AMF Box 22151,,,Salt Lake City,Salt Lake,416950,4516115,2017,0.09730361,0.21556473,0.00016997,0.01554325,,0.01508907,0.02029334,-12466046.28,4981685.273
480,10939,GSC Foundries- Aluminum & Stainless Steel Foundry,2738 Commerce Way,,,Ogden,Weber,414688,4563185,2017,1.77253221,2.05035489,,0.14188279,,0.13748279,5.85214904,-12469754.28,5044187.604
481,10820,Geneva Rock Products- Orem Hot Mix Asphalt Plant & Concrete Batch Plants,1565 West 400 North,,,Orem,Utah,438021,4461464,2017,1.38591159,2.42385795,,16.52024392,,1.99632748,2.25225921,-12437649.37,4909835.836
482,10974,Williams International Gas Turbine Engine Production Plant,3450 Sam Williams Dr,,,Ogden,Weber,415355,4561367,2020,3.7790962,5.223255,,2.39370968,1.533455,,1.0349224,-12468840.64,5041775.191
483,14063,"3form Material Solutions, Inc.- Plastic Laminate Plant",2300 S 2300 W,,,Salt Lake City,Salt Lake,419752,4508043,2020,2.4159477,2.9507435,0.01396843,2.51129697,,2.51129697,8.8639883,-12462234.25,4971041.355
484,10946,Central Weber Sewer Improvement District - Wastewater Treatment Plant,2618 W Pioneer Road,,,Ogden,Weber,412642,4569366,2017,10.66987312,16.1825378,,0.26335082,,0.26262394,1.96500198,-12472569.71,5052396.653
485,14662,Crescent Point Energy U.S. Corp Betts 1.5-8-3-1E-UB Production Tank Battery,NE-NW Sec 25 T3S R1E,,,Uintah County,Uintah,593737,4455477,2020,2.56483,1.83884,,0.258773,,0.158437,4.13677925,-12233781.55,4901535.755
486,10717,"EnergySolutions, LLC Radioactive Material Disposal Site",Radioactive Material Disposal Site Clive Facility,,,Clive,Tooele,321400,4506100,2020,8.49370937,26.94327811,,46.26706855,,8.19103076,2.61593329,-12591744.62,4966203.808
487,10483,"FC Printing, Inc.- Printing Facility",2580 Decker Lake Blvd #100,,,Salt Lake City,Salt Lake,420700,4508000,2020,,,,,,,6.642,-12460984.33,4970997.975
488,12776,Geneva Rock Products- Mount Jordan Operations,Across I-15 from Pt.of Mtn.,Facility on West side,,Salt Lake City,Salt Lake,422500,4479700,2020,4.75978183,11.50027143,,89.43333863,,10.70356389,0.85945057,-12458224.93,4933653.11
489,14847,Granite Construction Company- Talons Cove Hot Mix Asphalt Plant,4288 East Ranches Parkway,,,Eagle Mountain,Utah,418495,4471934,2020,14.78306846,6.2414618,,4.29558583,,2.70067187,2.66177457,-12463372.18,4923366.796
490,12058,"Harper-Kilgore, LLC- Parleys Canyon Aggregate Facility - #16",1.25 miles east of mouth of Parley's Canyon,,,Salt Lake City,Salt Lake,434300,4507900,2020,2.74182817,6.74080243,,9.71011195,,3.02865005,0.51008255,-12443059.51,4971041.545
491,10379,"Kilgore Contracting, LLC- Valley Pit",Point of the Mountain,16500 South 500 West,,Bluffdale,Salt Lake,422250,4478500,2020,31.2386988,77.16664696,,30.59665526,,9.1339896,5.99467075,-12458536.79,4932068.203
492,15967,"Merit Medical Systems, Inc. - Medical Device Manufacturing Plant",1600 West Merit Parkway,,,South Jordan,Salt Lake,420788,4491598,2020,1.4008224,2.1568688,0.0854748,0.12235776,,0.12197767,18.48522956,-12460638.37,4949323.475
493,14178,"Owens Corning Insulating Systems, LLC- Fiberglass Manufacturing Facility",2762 South Main,,,Nephi,Juab,426698,4391372,2020,43.01641604,4.83202435,0.02127236,58.03111364,0.05702235,45.5376335,12.94468649,-12451599.86,4817961.46
494,14185,OWL SWD Operating LLC OWL Danish Flats SWD,2.5 miles North of Interstate 70,Exit 214,,Cisco,Grand,648198,4327028,2020,0.5939,0.2969,,0.0096875,,0.0027425,147.706,-12165736.53,4733107.127
495,12444,Staker & Parson Companies- Keigley Quarry,12370 South West Mountain Hwy,,,Genola,Utah,431000,4429000,2020,18.74367925,6.11766453,,24.07722153,,3.38526875,4.51922815,-12446458.39,4867159.737
496,12085,Staker & Parson Companies- Lehi-Peck Pit,Approximately 5.6 miles west,of Lehi on Hwy 73,,Lehi,Utah,418700,4470900,2020,4.03443049,9.11242341,0.0048,19.187975,,3.17930381,0.65515164,-12463088.63,4922008.416
497,14607,Staker Parson Companies - Ferron Facility,1 mile north of Ferron on Highway 10,,,Ferron ,Emery,486580,4328260,2020,0.15250464,0.36757372,,5.64569386,,0.98368339,0.02760365,-12373740.93,4736490.277
498,12398,Staker Parson Companies West Haven Asphalt Storage Terminal,2350 S 1900 W,,,West Haven,Weber,414600,4564100,2020,3.129,2.6522,,0.2831,,0.2831,4.047465,-12469885.36,5045405.838
499,14172,Sunroc Corporation- Pintura Aggregate and Hot Mix Asphalt Plant,0.5-Mile South of Exit 31 off I-15,,,Pintura,Washington,298855,4134494,2020,9.9611655,44.51731441,,5.51262135,,1.4155993,1.2768403,-12609216.25,4485955.512
500,15927,"TM Crushing, LLC Glenwood Gravel Pit",7148 S Bacchus Highway,,,West Jordan,Salt Lake,410326,4497732,2020,6.75391236,15.076568,,10.21901524,,7.35488478,1.06336439,-12474492.4,4957267.354
501,13014,"UGC Midstream LTC, LLC - Harley Dome NGL Extraction Facility",Grand County,,,Harley Dome,Grand,662540,4340821,2020,1.69507788,14.6833616,,0.36066171,,,6.55666839,-12146919.56,4750570.065
502,10133,Pioneer Investments Corporation - Phillips 66 Company North Salt Lake Pipeline Terminal,245 East 1100 North,,,North Salt Lake,Davis,423667,4523922,2020,3.74135969,1.99540919,,0.00894388,,0.00278214,40.93141699,-12457290.9,4992126.373
503,14235,Interstate Rock Products - La Verkin Pit,La Verkin Creek Bridge,,,Washington County,Washington,298368,4122138,2020,1.281025,4.200663,,7.54704638,,1.12010158,,-12609454.81,4470371.021
504,10837,Flowserve Corporation Automatic Control Valves and Sub-component Manufacturer,1350 N Mountainsprings Pkwy,,,Springville,Utah,446350,4448440,2020,,0.02835,,0.15447,,,1.56008,-12426618.71,4892808.513
505,11440,"Smithfield Hog Production, Rocky Mtn Region - Swine Feed Mill",585 East 6th Ave.,,,Milford,Beaver,325570,4250830,2020,5.07804375,7.22003225,,32.9698079,,15.99757691,0.45528316,-12578794.01,4634480.153
506,12104,Rocky Mountain Machine Shop Inc.- Salt Lake City Machine shop,1165 South Pioneer Road,,,Salt Lake City,Salt Lake,419200,4510500,2020,1.1802384,1.27033518,0.006125,0.09565557,,0.09561718,0.23594251,-12462997.05,4974284.53
507,10042,Staker & Parson Companies- McGuire Pit Crushing Operation,8211 South,U.S. HWY 89,,Willard,Box Elder,415490,4579875,2020,2.45288458,5.81313606,,12.35709019,,2.03871833,0.4294492,-12468947.33,5066470.266
508,12280,Weber State University- Weber State University Campus,1410 Edylason St,,,Ogden,Weber,420915,4560896,2020,4.10815174,4.960946,0.07472,0.37256734,,0.37253738,0.26917324,-12461453.23,5041230.754
509,11607,Ogden Publishing Corporation- Newspaper Publishing,332 Standard Ave,,,Ogden,Weber,417000,4566000,2020,0.24434868,0.3508451,0.00842128,0.02157057,,0.02152399,4.76944008,-12466727.07,5047975.841
510,12145,Peak Asphalt LLC- Cowboy Asphalt Terminal,1710 West 2600 South,,,Woods Cross,Davis,422700,4523000,2020,0.01365,0.01855,0.00015322,0.2214098,,0.0234098,3.35742025,-12458555.29,4990890.701
511,12934,Quality Excavation Inc. The Desert Canyon Pit - Fort Pierce Industrial Park,1.4 miles Southwest of the St. George Airport,,,St. George,Washington,278274,4099314,2020,1.90367685,2.66417224,,1.43628552,,0.28657364,0.55268201,-12633894.77,4441038.892
512,14177,"Mountain States Asphalt, Inc. - Liquid Asphalt, Atmospheric Tower Bottoms, and Crude Oil Terminal",205 S Emerald Rd,,,Tooele,Tooele,386886,4487155,2020,0.02145954,0.00491775,0.00015737,0.01764154,,0.01764154,53.26621725,-12505125.93,4942884.082
513,15971,"Ramsey Hill Exploration, LLC - RHEx Vernal Sand Mine",8.5 Miles North on US-191,from Vernal Main St.,,Vernal,Uintah,627100,4492600,2020,2.01,2.99,,6.2885045,,2.59343069,0.27,-12189303.37,4949771.444
514,10156,Utility Trailer Manufacturing Company: Trailer Manufacturing Facility,1111 South 1000 West.,,,Clearfield,Davis,412468,4550241,2020,2.64710679,2.87300876,0.0053263,0.75167027,,0.74371629,23.85540713,-12472495.9,5026915.389
515,10706,Dugway Proving Ground - U.S. Army - Dugway Proving Ground,5450 Doolitte Avenue,,,Dugway,Tooele,334995,4449204,2020,30.71521734,28.3077917,0.1120096,162.7186982,,19.4883693,15.98836404,-12572200.65,4891696.873
516,10823,Payson City Corporation- Payson City Power,1100 N 100 E,,,Payson,Utah,437725,4434761,2020,0.69476456,14.66993579,0.01086781,0.52858251,,0.45374062,0.75167835,-12437748.97,4874781.507
517,10121,Hill Air Force Base- Main Base,75 CEG/CEIE,"7290 Weiner Street, Building 383",,Hill Air Force Base,Davis,416588,4553000,2018,138.1816188,125.8507089,2.397145,15.124791,,9.578518,137.8094566,-12467077.12,5030651.386
518,12724,Salt Lake City Dept. of Public Utilities- Water Reclamation Facility,1367 W 2300 N,,,Salt Lake City,Salt Lake,421477,4518034,2021,29.71964,7.95478,,0.5360385,,0.53593582,0.138475,-12460100.65,4984292.633
519,11598,Quality Steel Corporation- Fuel Storage Tank Manufacturing Plant,5520 West Old Bigham Highway,,,West Jordan,Salt Lake,413558,4491920,2021,0.64471465,0.83939362,0.0167904,1.3407895,,0.13693214,30.9258639,-12470150.37,4949642.515
520,10133,Pioneer Investments Corporation - Phillips 66 Company North Salt Lake Pipeline Terminal,245 East 1100 North,,,North Salt Lake,Davis,423667,4523922,2021,4.41353568,2.23992835,,0.00164727,,0.000683,44.47488784,-12457290.9,4992126.373
521,14155,Sunroc Corporation- Salem Aggregate Facility,790 South 1700 East,,,Salem,Utah,445420,4432580,2022,2.82888304,11.40265324,,3.85486084,,0.86547166,0.3886129,-12427685.55,4872001.788
522,10617,Holliday Construction Incorporated- Bluff Pit,4 miles west of Bluff,at the intersection of U.S. Routes 163 and 191,,San Juan County,San Juan,621900,4124700,2020,3.019,11.96,,4.42177,,1.80038,2.098,-12203431.8,4475534.304
523,10133,Pioneer Investments Corporation - Phillips 66 Company North Salt Lake Pipeline Terminal,245 East 1100 North,,,North Salt Lake,Davis,423667,4523922,2023,4.71657938,2.41708375,,0.00493175,,0.00313738,55.08015474,-12457290.9,4992126.373
524,16014,West Point Dairy Products - Hyrum Dairy Products Plant,570 North 500 West,,,Hyrum,Cache,427699,4610946,2023,2.63634,2.372706,,7.1354088,,3.81486127,0.35524681,-12453114.23,5108244.464
525,11309,Asphalt Systems Incorporated - Asphalt Mixing Plant,2775 West 1500 South,,,Salt Lake City,Salt Lake,423570,4505150,2017,0.54558,0.6495,0.00318255,0.049362,,0.049362,5.4101125,-12457163.31,4967267.951
526,16121,"Crusoe Energy Systems, Inc. - Duchesne Data Center Power Station",1 Mile North East of Upalco,,,Upalco,Duchesne,567859,4460140,2023,14.02,10.7,,3.09,,3.09,3.36,-12267591.72,4908028.385
527,10936,"Grain Craft, LLC. - Ogden Flour Mill",220 W 30th St,,,Ogden,Weber,417672,4562312,2023,0.3024,0.36,0.01152,39.52736,,19.78736,0.0198,-12465779.22,5043070.195
528,10008,Nucor Steel- Nucor Steel,West Nucor Rd,PO Box 100,,Plymouth,Box Elder,400539,4637480,2018,743.7889388,184.3429167,2.29416,54.65010963,,41.32409046,74.15017274,-12489908.94,5143468.594
529,10092,Canyon Fuel Company LLC- Skyline Mines,Eccles Canyon,,,Scofield,Carbon,482492,4392850,2023,1.70898,2.0345,0.065104,24.52652632,,2.64689188,0.1118975,-12379192.05,4820316.459
530,11789,Longview Fibre Paper and Packaging Inc. - Spanish Fork Box Plant,2200 North Main Street,,,Spanish Fork,Utah,444290,4443428,2017,14.02159064,4.38076257,,1.13624317,,0.72924317,1.93395775,-12429264.2,4886211.642
531,10812,Nestle USA Prepared Foods Division Inc.- Prepared Foods Processing Plant,815 West Ray Klauck Way,,,Springville,Utah,446910,4448660,2023,16.841024,10.11108,0.640928,1.54376149,,1.54376149,1.115168,-12425888.49,4893102.506
532,10264,Mid-America Pipeline Company- Moab Station,8 miles South of Moab,(in San Juan County),,San Juan County,San Juan,634664,4259293,2023,0.01662845,0.02182284,,0.00069011,,0.00069011,2.68306416,-12184619.58,4646291.79
533,11199,"Midwestern Fabricators, LLC- Fiberglass Manufacturing Plant",1235 South Pioneer Rd.,,,Salt Lake City,Salt Lake,419193,4510557,2023,0.110922,0.13205,0.00064704,0.0100358,,0.0100358,17.20588564,-12463007.36,4974359.412
534,10663,Western Clay Company- Aurora Bentonite Gypsum Milling Plant,620 East Highway 24,,,Aurora,Sevier,419951,4308159,2023,6.90892738,5.45777924,0.0506592,14.79195696,,6.71107493,0.5997002,-12459252.89,4710031.296
535,13306,"SKF Polyseal, Inc. - Seals Manufacturing Plant",1754 West 500 South,,,Salt Lake City,Salt Lake,411006,4507738,2017,0.57228658,0.43473413,,0.01281348,,0.00219829,7.93205042,-12473754.93,4970506.094
536,14085,"UNEV Pipeline, LLC- Cedar City Terminal",4410 N Wecco Rd,,,Cedar City,Iron,301692,4181844,2023,1.53608811,1.45762386,0.00011003,0.03723197,,0.03723197,12.6082716,-12607078.4,4545920.231
537,11883,Cambelt International Corp - Rubber Conveyor Systems Manufacture,2820 W 1100 S,,,Salt Lake City,Salt Lake,418919,4511027,2022,0.31446125,0.4284035,0.0097376,0.02816359,,0.02392559,1.90974266,-12463374.72,4974977.99
538,15927,"TM Crushing, LLC Glenwood Gravel Pit",7148 S Bacchus Highway,,,West Jordan,Salt Lake,410326,4497732,2023,0.49949011,1.11499768,,6.16295137,,0.77440684,0.07864183,-12474492.4,4957267.354
539,10181,Companion Systems Incorporated- Fiberglass Manufacturing,PO Box 540636,,,North Salt Lake,Davis,421889,4522031,2017,,,,,,,3.68698185,-12459612.12,4989594.304
540,10725,Clean Harbors Aragonite LLC: Hazardous Waste Storage Incineration,11600 N. Aptus Rd.,,,Aragonite,Tooele,332372,4511351,2017,43.52801338,126.5971413,,3.73155287,,1.78071594,5.86622534,-12577455.27,4973484.947
541,14234,"Geneva Rock Products, Inc. - Morgan Aggregate Plant",970 West Old Highway Road,,,Morgan,Morgan,444590,4544383,2023,11.8606338,20.52452006,0.17873409,11.91484303,,2.98354411,1.75096574,-12429859.86,5019541.363
542,13283,Whitaker Construction Company- Plymouth Aggregate Plant,20965 Old Hwy 13,,,Plymouth,Box Elder,403300,4639000,2023,0.92946954,2.91331288,,22.74933767,,3.66335452,0.28639945,-12486233,5145566.603
543,10843,"Geneva Rock Products, Inc. - Pelican Point Limestone, Aggregate, & Concrete Facility  ",1565 Redwood Road,,,Lehi,Utah,425920,4456650,2023,3.8384225,12.10596194,,24.4040471,,7.44930456,0.64781184,-12453436.81,4903364.297
544,15953,"Morgan Asphalt, Incorporated - Grantsville Pit",Approximately 5 miles northwest of Grantsville on US 138 ,,,Grantsville,Tooele,369000,4501600,2023,11.49250472,0.30344341,,1.84363008,,0.16634938,0.51131151,-12528959.42,4961567.903
545,10820,Geneva Rock Products- Orem Hot Mix Asphalt Plant & Concrete Batch Plants,1565 West 400 North,,,Orem,Utah,438021,4461464,2023,24.15562115,7.3818292,0.00904,7.28242344,,2.07510258,1.11214473,-12437649.37,4909835.836
546,10107,ECDC Environmental LC: East Carbon Landfill,1111 W Highway 123,PO Box 69,,East Carbon,Carbon,545077,4375243,2023,24.4123366,12.76536902,0.00235078,13.55530925,,2.69367488,14.20785699,-12298079.68,4797249.263
547,14235,Interstate Rock Products - La Verkin Pit,La Verkin Creek Bridge,,,Washington County,Washington,298368,4122138,2023,1.2403,4.014257,,5.70404496,,0.85519365,0.16481062,-12609454.81,4470371.021
548,14083,TM Crushing LLC- Grantsville Sand & Gravel Pit,5 miles south of Grantsville,,,Tooele County,Tooele,374257,4485427,2023,0.2492,0.5953,,9.7059,,1.91421,0.037284,-12521680.62,4940338.814
549,10920,"Ardent Mills, LLC - Ogden Flour Mill",2780 G Ave,,,Ogden,Weber,416380,4562900,2023,,,,41.66668931,,14.02195946,,-12467503.36,5043833.888
550,10790,Brigham Young University- Main Campus,B-340 ASB,Brigham Young University,,Provo,Utah,445000,4455200,2024,6.71991399,41.68553965,2.05420672,5.15967686,,5.15728715,4.12818738,-12428448.35,4901673.632
551,10219,Kinder Morgan Altamont LLC Bluebell Facility,Sec 20 T1S R5W,,,Altamont,Duchesne,577662,4470574,2024,47.56679708,56.70897687,0.025168,3.53807577,,3.53807577,55.91245832,-12254613.94,4921630.21
552,15950,Schuff Steel Company - Lindon Steel Fabrication Facility,325 S Geneva Road,,,Lindon,Utah,437472,4464764,2024,,,,0.168292,,7.8E-06,3.14261,-12438404.37,4914170.061
553,14180,eBay Inc.: SLC Data Center,6614 West Crimson View Drive,,,South Jordan,Salt Lake,411299,4490858,2024,1.80305699,14.72304181,0.15079255,0.56859396,,0.28815396,0.58899796,-12473104.28,4948205.661
554,10005,Kinder Morgan Altamont LLC: Altamont Main Gas Processing Plant,PO Box 587,,,Altamont,Duchesne,557011,4467654,2024,135.1932025,41.49351985,0.05669545,8.39175016,,8.39175016,173.186405,-12281723.57,4918030.018
555,10210,Kinder Morgan Altamont LLC- Altamont West Compressor Station,PO Box 587,,,Altamont,Duchesne,551427,4463055,2024,27.24133674,267.2508752,0.00424585,1.79551062,,1.79551062,55.51212612,-12289084.54,4912032.698
556,11199,"Midwestern Fabricators, LLC- Fiberglass Manufacturing Plant",1235 South Pioneer Rd.,,,Salt Lake City,Salt Lake,419193,4510557,2024,0.06048,0.072,0.0003528,0.005472,,0.005472,13.2976621,-12463007.36,4974359.412
557,16001,Kinder Morgan Altamont LLC - Farm Compressor Station,PO Box 587,,,Altamont,Duchesne,573729,4452756,2024,135.065256,35.72980343,0.011344,8.34104783,,8.34104783,87.8394975,-12259999.36,4898253.288
558,12058,"Harper-Kilgore, LLC- Parleys Canyon Aggregate Facility - #16",1.25 miles east of mouth of Parley's Canyon,,,Salt Lake City,Salt Lake,434300,4507900,2017,2.34847176,4.38797544,,8.88136081,,1.54391974,0.44908741,-12443059.51,4971041.545
559,11572,Jack B. Parsons Company- Bauer Aggregate Pit & Concrete Batch Plant,4 miles South of Tooele near Highway Mile Marker 50 on SR 36,,,Bauer,Tooele,385400,4481200,2020,1.14807462,3.19725673,0.0072,6.53905904,,1.10624597,0.1641027,-12506958.5,4935002.445
560,15701,Quality Crushing - Grantsville Sand & Gravel Pit,Mormon Trail Rd,,,Granstville,Tooele,373991,4485344,2020,5.50617,9.93366,,3.49808414,,2.91366423,1.83177,-12522028.18,4940223.459
561,10485,E.T. Technologies Incorporated - Soils Regeneration Site,6400 W California Ave,,,Salt Lake City,Salt Lake,411766,4510198,2021,0.52409789,1.40243667,,0.39904028,,0.14791863,4.83346188,-12472792.35,4973773.194
562,10562,Olympia Sales Company: Cabinet Manufacturing Facility,1537 South 700 West,,,Salt Lake City,Salt Lake,423096,4509802,2022,0.26224015,0.26783186,0.00128233,3.13369055,,3.13369055,30.03212188,-12457851.32,4973415.673
563,11598,Quality Steel Corporation- Fuel Storage Tank Manufacturing Plant,5520 West Old Bigham Highway,,,West Jordan,Salt Lake,413558,4491920,2022,0.76994395,1.00170254,0.0201312,1.34122618,,0.14861851,30.93043927,-12470150.37,4949642.515
564,14775,"AMT Labs, Inc.- North Salt Lake Bulk Minerals & Supplements Plant",680 North 700 West,,,North Salt Lake,Davis,421856,4522915,2017,2.09412,2.493,0.070544,9.659468,,9.659468,19.067115,-12459668.67,4990766.175
565,10259,Northwest Pipeline LLC: Cisco Compressor Station,Remote 3 miles south of I-70 Exit 202 on Highway 128,,,Cisco,Grand,642850,4310720,2023,0.44109069,0.59610305,0.00262354,0.01648492,,0.01648492,0.01007161,-12172996.51,4712191.288
566,11590,"Martin Marietta Materials, Inc.- Milford Quarry",3.5 miles north of Milford,on County Road 163,,Milford,Beaver,321000,4259500,2023,13.36355407,15.91205269,,7.58741115,,1.72906233,0.99639419,-12584861.49,4645447.723
567,14847,Granite Construction Company- Talons Cove Hot Mix Asphalt Plant,4288 East Ranches Parkway,,,Eagle Mountain,Utah,418495,4471934,2023,14.16252156,6.1231993,,4.68670751,,2.63595605,2.55141044,-12463372.18,4923366.796
568,10348,Murray City Power Department- Electrical Generation Plant,157 W 4800 S,,,Murray,Salt Lake,424411,4501981,2017,0.74120522,0.53279831,,0.05949258,,0.05946619,0.02107454,-12456012.94,4963089.33
569,10237,PacifiCorp- Hunter Power Plant,P.O. Box 569,,,Castle Dale,Emery,497800,4335800,2017,3158.087527,9776.708608,1.36439694,503.9166387,,385.3349457,119.7519437,-12359298.58,4746256.061
570,10229,"Bronco Utah Operations, LLC - Emery Coal Mine",S33 T22S R6E,,,Emery,Emery,477497,4301185,2020,,,,2.27361379,,0.27569028,,-12385335.08,4701524.774
571,12145,Peak Asphalt LLC- Cowboy Asphalt Terminal,1710 West 2600 South,,,Woods Cross,Davis,422700,4523000,2023,1.89055599,2.20915,0.01082483,0.3718434,,0.2007184,2.85322591,-12458555.29,4990890.701
572,10922,Westinghouse Electric Company LLC- Zirconium Hafnium Production Plant,"10,000 West 900 South",,,Ogden,Weber,397000,4568030,2023,533.3376715,25.56270735,2.3564184,7.23587903,,7.10897121,2.38892182,-12493329.46,5050342.135
573,10021,Geneva Rock Products- Perry Sand & Gravel Pit,600 West 3000 South,,,Perry,Box Elder,413880,4589941,2023,0.96182573,2.23872855,0.0003792,2.1798206,,0.40935207,0.16576656,-12471249.9,5079901.225
574,10726,"Morton Salt, Inc.- Salt Processing Plant",One Morton Lane,Near Exit 84 on I-80,,Grantsville,Tooele,371700,4507600,2023,0.4606452,0.25722955,0.77131408,34.746494,,0.86132197,0.03274263,-12525541.87,4969561.942
575,16098,"Kenny Seng Construction, LLC. - West Mountain Pit",South of 10400 South near 6300 West ,,,Payson,Utah,430653,4431868,2023,5.5273167,17.84824524,0.0942123,10.22441826,,2.24102761,0.72323237,-12446945.06,4870911.398
576,10917,Compass Minerals Ogden Inc. - Production Plant,765 N 10500 W,,,Ogden,Weber,396869,4570651,2023,159.7271944,114.2823454,2.7118848,125.3792451,,52.83487934,25.72237312,-12493552.88,5053835.477
577,10917,Compass Minerals Ogden Inc. - Production Plant,765 N 10500 W,,,Ogden,Weber,396869,4570651,2022,108.4110862,59.46275266,2.85610323,125.7836956,,53.99817731,27.06718177,-12493552.88,5053835.477
578,10184,Geneva Rock Products- South Weber Pit,2635 E South Weber Drive,,,South Weber,Davis,423700,4553800,2023,0.93777134,2.23036384,,7.82262575,,1.56060916,0.16666972,-12457658.07,5031819.654
579,10055,"Kilgore Contracting, Inc. - Hyrum Aggregate, Asphalt and Concrete Plant",410 North 800 East,,,Hyrum,Cache,431158,4610075,2023,19.73604,28.021,,27.74302507,,11.30323084,5.285032,-12448479.61,5107121.545
580,10358,Varex Imaging Corporation - X-Ray Products Manufacturing Plant,1678 S. Pioneer Road,,,Salt Lake City,Salt Lake,418988,4509400,2023,1.25006911,1.96775579,0.038448,0.14326631,,0.14326631,9.20373118,-12463260.68,4972825.825
581,13031,PacifiCorp Energy: Lake Side Power Plant,1850 N Pioneer Ln,,,Vinyard,Utah,468140,4464564,2017,917.0714711,207.0550216,110.346943,65.07787294,,65.07734942,26.25523038,-12398214.97,4914159.965
582,10720,Clean Harbors Grassy Mountain LLC: Grassy Mountain Landfill Facility,3 miles East of and 7 miles north of exit 41,I-80,,Knolls,Tooele,313779,4520571,2023,4.36712616,1.9570275,,3.79318103,,0.91237397,0.68859719,-12602256.91,4985098.119
583,10119,Chevron Products Co - Salt Lake Refinery,2351 North 1100 West,,,Salt Lake City,Davis,422270,4519770,2020,255.0821527,274.8285764,9.24469051,55.64412414,,34.87606257,324.9908355,-12459078.25,4986603.795
584,10119,Chevron Products Co - Salt Lake Refinery,685 S Chevron Way,,,North Salt Lake,Davis,422270,4519770,2021,252.7793436,267.9204825,4.349664,55.82622825,,35.06962825,357.5891232,-12459078.25,4986603.795
585,12776,Geneva Rock Products- Mount Jordan Operations,15200 S. Pony Express Road,,,Bluffdale,Salt Lake,421900,4479700,2023,5.78438656,13.9781554,,82.04730454,,10.76609987,1.04302576,-12459012.67,4933644.89
586,10981,"Geneva Rock Products, Inc. - Morgan Drum Mix Asphalt Plant & Crushing Operation",3175 W Old Highway Rd,,,Morgan,Morgan,436749,4551443,2023,2.7340303,12.10405737,,7.41926191,,2.34133431,7.51902062,-12440326.09,5028848.187
587,10463,Henkel Corporation - Detergent Manufacturing Plant,1987 South 3540 West,,,Salt Lake City,Salt Lake,417568,4509184,2023,1.24070528,1.48075344,0.04722158,1.70256499,,0.83022286,2.56373895,-12465129.23,4972519.306
588,11412,"Geneva Rock Products, Inc.- Cove Pit",1721 E High Creek Rd,,,Cove,Cache,434144,4645416,2023,0.04274217,0.10484134,,2.53214431,,0.35720982,0.00783622,-12444925.96,5154687.578
589,13283,Whitaker Construction Company- Plymouth Aggregate Plant,20965 Old Hwy 13,,,Plymouth,Box Elder,403300,4639000,2020,0.5650916,0.60130188,,15.76171836,,2.48200784,0.12512529,-12486233,5145566.603
590,10565,Geneva Rock Products- Point of the Mountain (Hansen-Lehi) Facility,15547 South Minuteman Drive,,,Draper,Salt Lake,423090,4480190,2023,34.72442283,41.48225081,0.007264,113.347739,,24.0643657,9.72901556,-12457456.94,4934306.982
591,11532,Questar Pipeline LLC: Kastler Marushack Compressor Station,"Section 16, T3N, R24E",N4539184   E 650257,,Daggett County,Daggett,650260,4539180,2017,28.02940174,639.1488547,2.84540558,4.36893602,,4.36861213,44.91537736,-12157609.22,5010861.921
592,15958,"Morgan Asphalt, Inc. Magna Plant",7620 West Highway 201,,,Magna,Salt Lake,409276,4508376,2023,17.29421666,1.94185169,,0.46990482,,0.28037424,1.07453985,-12476045.36,4971322.181
593,10034,"Green Natural Ventures, LLC",remote location,,,Moab,San Juan,650990,4225333,2023,74.14220699,50.426512,1.99461785,21.40400774,,20.91763587,31.87018219,-12164601.89,4602514.575
594,10517,Teva Pharmaceuticals USA Pharmaceutical Manufacturing Facility,575 Chipeta Way,,,Salt Lake City,Salt Lake,430492,4511973,2023,13.7662775,12.80608875,0.44352992,1.247961,,1.247961,4.21886361,-12448128.52,4976385.748
595,10407,Granite Construction Company- Cottonwood Facility,6901 S Wasatch Blvd,,,Salt Lake City,Salt Lake,432740,4497460,2023,29.66467958,11.3041253,1.077E-05,16.29889669,,6.37539654,8.30586643,-12444991.01,4957220.235
596,11462,Lisbon Valley Mining Company LLC- Lisbon Valley Open Pit Copper Mine,920 S. County Road #313,PO Box 248,,La Sal,San Juan,665000,4223000,2023,25.53844193,49.20217357,,455.0692627,,44.16621547,3.58421238,-12146868.15,4599192.51
597,10907,Western Rock Products Corporation- Sorenson Pit,851 North Red Rock Road,,,St. George,Washington,281964,4111381,2023,21.76357036,83.44125145,0.31927154,16.66296463,,7.13969511,6.49506392,-12629671.36,4456321.091
598,10278,Staker Parson Companies dba Western Rock Products Cedar City Facility,1405 North Bulldog Rd.,,,Cedar City,Iron,316510,4175420,2023,16.57833709,16.46075221,,17.33156214,,4.68071576,3.53563596,-12588183.25,4538210.837
599,10939,"PCC Structurals, Inc. - Aluminum & Stainless Steel Foundry",2738 Commerce Way,,,Ogden,Weber,414688,4563185,2023,9.18084531,3.43362816,,0.47182114,,0.45455522,4.06483959,-12469754.28,5044187.604
